iter	RMSE
0	2068.00315
1	2006.60133
2	1950.002252
3	1894.623563
4	1847.786697
5	1797.03113
6	1754.116305
7	1707.594868
8	1658.785943
9	1618.859115
10	1579.962687
11	1540.745814
12	1506.920319
13	1472.65981
14	1443.35666
15	1413.943856
16	1386.30354
17	1361.187212
18	1335.680182
19	1307.71399
20	1283.854604
21	1264.323837
22	1246.82922
23	1225.386804
24	1206.860852
25	1188.96869
26	1175.115951
27	1159.129719
28	1143.445274
29	1121.853637
30	1107.556686
31	1095.82259
32	1085.908007
33	1073.885906
34	1062.951055
35	1053.124895
36	1035.359084
37	1025.489942
38	1016.293394
39	1001.927738
40	988.2399229
41	973.6700287
42	967.1204116
43	956.2168533
44	946.4413686
45	934.0052249
46	919.2311665
47	908.3956691
48	895.0090867
49	884.9946914
50	874.7094691
51	863.9721841
52	854.9440748
53	845.3309647
54	836.5239048
55	828.8987038
56	825.6207656
57	816.6121413
58	812.0694947
59	804.2145283
60	796.7629454
61	790.2626281
62	786.880305
63	783.4348526
64	775.0133072
65	767.6613614
66	761.4031026
67	754.6874552
68	750.6861654
69	745.301696
70	737.2808898
71	735.26379
72	731.0432646
73	726.1802854
74	721.3542165
75	717.5315729
76	713.6287869
77	710.3951217
78	706.8497645
79	700.4240244
80	697.8537049
81	696.712864
82	691.772005
83	687.9479948
84	685.4316274
85	683.1911796
86	680.6093541
87	677.3158108
88	675.0662403
89	669.9489903
90	666.9731812
91	664.1197199
92	662.0354571
93	657.9811259
94	654.39773
95	652.9872599
96	651.4029653
97	650.1335458
98	646.7841261
99	645.5146052
