iter	Passed	Remaining
0	57	5666
1	58	2863
2	59	1908
3	59	1439
4	60	1152
5	61	966
6	62	824
7	62	719
8	62	636
9	64	580
10	64	524
11	65	477
12	65	437
13	65	403
14	66	374
15	67	354
16	67	331
17	68	311
18	68	293
19	69	277
20	69	262
21	70	248
22	70	235
23	70	223
24	71	213
25	71	203
26	71	193
27	72	185
28	72	177
29	73	170
30	73	163
31	73	156
32	74	150
33	74	145
34	75	139
35	75	134
36	76	129
37	76	124
38	76	120
39	77	116
40	78	112
41	78	108
42	79	104
43	79	101
44	79	97
45	80	94
46	80	91
47	81	87
48	81	84
49	81	81
50	82	78
51	83	76
52	83	74
53	84	72
54	85	69
55	85	67
56	86	64
57	86	62
58	86	60
59	87	58
60	88	56
61	88	54
62	89	52
63	89	50
64	89	48
65	90	46
66	90	44
67	91	42
68	91	41
69	91	39
70	92	37
71	92	36
72	93	34
73	93	32
74	93	31
75	94	29
76	94	28
77	94	26
78	95	25
79	95	23
80	96	22
81	96	21
82	96	19
83	97	18
84	97	17
85	97	15
86	98	14
87	98	13
88	99	12
89	99	11
90	100	9
91	100	8
92	100	7
93	101	6
94	101	5
95	101	4
96	102	3
97	103	2
98	103	1
99	104	0
